iter	RMSE
0	5.146832934
1	5.101868662
2	5.071326521
3	5.039265474
4	5.003998198
5	4.970951206
6	4.935620161
7	4.900189396
8	4.875248954
9	4.851254228
10	4.824856577
11	4.800243345
12	4.765262285
13	4.732327128
14	4.706991783
15	4.682331989
16	4.650612384
17	4.618776279
18	4.577625202
19	4.553592695
20	4.522344193
21	4.493138067
22	4.457621566
23	4.43269494
24	4.403201718
25	4.390803541
26	4.370515131
27	4.340764518
28	4.31249131
29	4.286521331
30	4.270409163
31	4.24506894
32	4.223855646
33	4.207489234
34	4.18616694
35	4.173625375
36	4.1559884
37	4.138313278
38	4.114639001
39	4.094675995
40	4.074419859
41	4.053262518
42	4.032805476
43	4.01466304
44	3.991695711
45	3.982125365
46	3.965353895
47	3.944588026
48	3.930746797
49	3.915313494
50	3.906205172
51	3.88166565
52	3.871114861
53	3.852159506
54	3.836644994
55	3.819688771
56	3.808564623
57	3.791158803
58	3.770099115
59	3.753863856
60	3.729229144
61	3.716331357
62	3.701784962
63	3.68142304
64	3.664757838
65	3.648457814
66	3.632881708
67	3.61491169
68	3.598348148
69	3.586506539
70	3.582435806
71	3.572776766
72	3.561754227
73	3.547147952
74	3.529497709
75	3.519942649
76	3.503135356
77	3.490089665
78	3.473148467
79	3.461557723
80	3.446433779
81	3.436515785
82	3.421820043
83	3.411113326
84	3.397333885
85	3.381982955
86	3.370946132
87	3.36265137
88	3.34892827
89	3.339560338
90	3.32870409
91	3.319214594
92	3.311831382
93	3.299844344
94	3.284436682
95	3.268376749
96	3.263536597
97	3.256585616
98	3.248615761
99	3.241316149
100	3.221360516
101	3.207203006
102	3.192121395
103	3.180205419
104	3.17006112
105	3.164513357
106	3.157308013
107	3.14596501
108	3.140330564
109	3.127450824
110	3.115843018
111	3.103235358
112	3.093692547
113	3.084288995
114	3.07150651
115	3.061693769
116	3.052427901
117	3.046119276
118	3.037713035
119	3.028630352
120	3.025479213
121	3.023614382
122	3.01786972
123	3.010329148
124	3.002908919
125	2.998164762
126	2.99000558
127	2.982317982
128	2.976376734
129	2.970807091
130	2.966500397
131	2.953236008
132	2.942163982
133	2.928406346
134	2.92410313
135	2.918108636
136	2.905378976
137	2.899026407
138	2.886716382
139	2.87864159
140	2.866099406
141	2.857505243
142	2.856313868
143	2.85432709
144	2.843516402
145	2.83346967
146	2.829113965
147	2.825367296
148	2.819578163
149	2.808464484
150	2.801031169
151	2.791131825
152	2.785981325
153	2.776704514
154	2.767568266
155	2.762470598
156	2.760562522
157	2.753168538
158	2.742810496
159	2.738101043
160	2.730027137
161	2.721480403
162	2.71825169
163	2.709738283
164	2.70684954
165	2.702061405
166	2.697358231
167	2.69166541
168	2.684685855
169	2.669150965
170	2.667377285
171	2.665219118
172	2.658691018
173	2.649713422
174	2.642829317
175	2.632859675
176	2.625907475
177	2.622097512
178	2.620369283
179	2.615488661
180	2.60471809
181	2.597766216
182	2.591843784
183	2.583990536
184	2.581187775
185	2.572804008
186	2.567166738
187	2.566274883
188	2.556991669
189	2.552311977
190	2.549680714
191	2.544073907
192	2.538088183
193	2.531882868
194	2.525838565
195	2.524231122
196	2.51611437
197	2.504374089
198	2.497867904
199	2.483571842
200	2.477195876
201	2.468299834
202	2.466445243
203	2.45815604
204	2.452928159
205	2.45170571
206	2.448100723
207	2.443532889
208	2.437841052
209	2.42931893
210	2.427104966
211	2.421556995
212	2.415249623
213	2.403134084
214	2.401665486
215	2.38966532
216	2.378153872
217	2.368297297
218	2.359255953
219	2.349844572
220	2.334090755
221	2.329717781
222	2.321670604
223	2.316531084
224	2.303723402
225	2.296380661
226	2.282059754
227	2.278447032
228	2.269559225
229	2.266916621
230	2.26413186
231	2.246552555
232	2.235554397
233	2.230023857
234	2.220681972
235	2.205697016
236	2.202385241
237	2.19354131
238	2.192700327
239	2.184877042
240	2.176006445
241	2.170716574
242	2.164824079
243	2.159955566
244	2.146638181
245	2.14334122
246	2.140602724
247	2.129428183
248	2.122585516
249	2.114670328
250	2.111470343
251	2.102977112
252	2.089420193
253	2.088449229
254	2.082159213
255	2.08025547
256	2.078002502
257	2.069897979
258	2.061076191
259	2.0591174
260	2.050383411
261	2.045222591
262	2.040201951
263	2.034382115
264	2.024080828
265	2.017909614
266	2.00673916
267	1.998046218
268	1.992511088
269	1.979969064
270	1.976241563
271	1.973216641
272	1.963913918
273	1.956891788
274	1.954563526
275	1.944573198
276	1.941434846
277	1.931798476
278	1.929245021
279	1.919364057
280	1.911441054
281	1.902335975
282	1.901189725
283	1.898176592
284	1.888353498
285	1.883923986
286	1.882980319
287	1.877019707
288	1.872260662
289	1.870763829
290	1.86623176
291	1.861194959
292	1.856785109
293	1.846944352
294	1.837200227
295	1.835563013
296	1.831736961
297	1.826851467
298	1.818947846
299	1.808789637
300	1.806421066
301	1.805407943
302	1.797684911
303	1.788937251
304	1.782136169
305	1.775963625
306	1.774192137
307	1.765941525
308	1.764524963
309	1.758938702
310	1.756789404
311	1.750053221
312	1.7491223
313	1.742910403
314	1.731614719
315	1.725003312
316	1.723364143
317	1.722018388
318	1.715955327
319	1.715101214
320	1.714405378
321	1.706548777
322	1.697983906
323	1.696183171
324	1.691451351
325	1.684575356
326	1.682816312
327	1.681858611
328	1.681086605
329	1.680063882
330	1.679410829
331	1.67261387
332	1.668994408
333	1.664888297
334	1.663946827
335	1.657271291
336	1.656665116
337	1.651017687
338	1.645867962
339	1.645209671
340	1.640119709
341	1.635544858
342	1.634767227
343	1.633952848
344	1.62752685
345	1.620888837
346	1.619477069
347	1.609526162
348	1.608678064
349	1.602735519
350	1.594760169
351	1.594004483
352	1.586832203
353	1.58488673
354	1.584310693
355	1.583535915
356	1.579081246
357	1.572260471
358	1.568305183
359	1.567351678
360	1.56290377
361	1.559760152
362	1.55239475
363	1.546709079
364	1.542654293
365	1.536746483
366	1.536042864
367	1.532991904
368	1.529311051
369	1.528573126
370	1.521226659
371	1.518846175
372	1.517322865
373	1.512532467
374	1.507012126
375	1.502406015
376	1.501168935
377	1.494887608
378	1.489715652
379	1.481512733
380	1.479637542
381	1.479082252
382	1.4786044
383	1.470930708
384	1.465425363
385	1.464094928
386	1.459485154
387	1.459154527
388	1.453088322
389	1.450648493
390	1.447596836
391	1.446109812
392	1.440388579
393	1.438218963
394	1.436496861
395	1.433430861
396	1.429572915
397	1.429053354
398	1.423945521
399	1.421194005
400	1.41569134
401	1.414030595
402	1.408632267
403	1.405028061
404	1.40457018
405	1.40416085
406	1.403727568
407	1.403100035
408	1.402384902
409	1.401411052
410	1.397147733
411	1.394828554
412	1.394384819
413	1.391217462
414	1.3904997
415	1.38278376
416	1.378204707
417	1.372495864
418	1.368656919
419	1.364427917
420	1.359417192
421	1.35242026
422	1.349518681
423	1.348976076
424	1.345093605
425	1.339510652
426	1.335230858
427	1.331196464
428	1.325530099
429	1.318792196
430	1.318024765
431	1.315815063
432	1.311647221
433	1.308170448
434	1.304027212
435	1.30017411
436	1.298942036
437	1.295902664
438	1.291430016
439	1.286447122
440	1.28596393
441	1.282749628
442	1.277884461
443	1.275219857
444	1.269825748
445	1.264985516
446	1.262566942
447	1.257363751
448	1.253682523
449	1.251118561
450	1.249469706
451	1.248911915
452	1.245739796
453	1.245290005
454	1.2408539
455	1.236911536
456	1.234610966
457	1.23159085
458	1.228903538
459	1.222737203
460	1.220546657
461	1.218802399
462	1.217849211
463	1.215291981
464	1.211378695
465	1.208147255
466	1.207617559
467	1.206394413
468	1.201616334
469	1.200719788
470	1.200326754
471	1.198057649
472	1.195835497
473	1.195546742
474	1.194867153
475	1.192988313
476	1.190678604
477	1.190182531
478	1.186862518
479	1.180890119
480	1.178678387
481	1.178140206
482	1.17777278
483	1.172610829
484	1.17094256
485	1.167642082
486	1.165902805
487	1.16467411
488	1.162629128
489	1.159447948
490	1.156342553
491	1.152796978
492	1.149610387
493	1.145267849
494	1.142057308
495	1.140885728
496	1.137404403
497	1.135146773
498	1.132570103
499	1.129460204
500	1.126192008
501	1.12367259
502	1.118938664
503	1.114420257
504	1.111257195
505	1.1100474
506	1.108818138
507	1.108320072
508	1.106734791
509	1.103838982
510	1.101461243
511	1.09900039
512	1.094614241
513	1.094222848
514	1.092704482
515	1.089441524
516	1.089022171
517	1.086957585
518	1.084160391
519	1.081326538
520	1.081037249
521	1.080491526
522	1.080262222
523	1.077735693
524	1.075645484
525	1.074575623
526	1.069392036
527	1.066958393
528	1.06530039
529	1.062965364
530	1.061099405
531	1.05843174
532	1.055849763
533	1.05518888
534	1.054084402
535	1.052797986
536	1.049419036
537	1.046557458
538	1.044081194
539	1.043771362
540	1.043507735
541	1.039324801
542	1.036716025
543	1.034797682
544	1.033023214
545	1.031038101
546	1.030748002
547	1.029717824
548	1.029259142
549	1.028967834
550	1.028389726
551	1.02634284
552	1.025753441
553	1.025383381
554	1.02487956
555	1.020793198
556	1.018665374
557	1.018173176
558	1.014270441
559	1.012486678
560	1.010144848
561	1.007810255
562	1.007373857
563	1.005123716
564	1.001376044
565	0.9987412598
566	0.9950259719
567	0.991375699
568	0.9883655036
569	0.9880189555
570	0.9876869943
571	0.9857269839
572	0.985266279
573	0.9817493193
574	0.9813811084
575	0.9795434428
576	0.9767802449
577	0.9750012609
