iter	Passed	Remaining
0	0	449
1	0	402
2	1	389
3	1	388
4	1	380
5	2	376
6	2	372
7	2	370
8	3	373
9	3	373
10	4	376
11	4	376
12	4	375
13	5	378
14	5	378
15	6	375
16	6	372
17	6	371
18	7	368
19	7	368
20	7	366
21	8	365
22	8	364
23	8	362
24	9	359
25	9	350
26	9	349
27	10	348
28	10	347
29	10	347
30	11	346
31	11	346
32	11	345
33	12	344
34	12	343
35	12	339
36	12	338
37	13	337
38	13	337
39	14	336
40	14	336
41	14	336
42	15	337
43	15	337
44	15	337
45	16	336
46	16	336
47	16	335
48	17	335
49	17	334
50	17	333
51	18	333
52	18	332
53	18	331
54	19	331
55	19	330
56	19	330
57	20	330
58	20	329
59	20	328
60	21	328
61	21	327
62	22	327
63	22	327
64	22	327
65	23	326
66	23	325
67	23	325
68	24	324
69	24	323
70	24	324
71	25	323
72	25	323
73	25	323
74	26	322
75	26	321
76	26	321
77	27	320
78	27	321
79	27	321
80	28	320
81	28	320
82	28	319
83	29	319
84	29	318
85	29	318
86	30	318
87	30	317
88	30	317
89	31	316
90	31	315
91	31	315
92	32	314
93	32	314
94	32	314
95	33	313
96	33	313
97	33	312
98	34	312
99	34	311
100	34	311
101	35	310
102	35	310
103	36	310
104	36	310
105	36	309
106	37	309
107	37	308
108	37	308
109	38	307
110	38	307
111	38	307
112	39	306
113	39	305
114	39	305
115	40	305
116	40	304
117	40	304
118	41	304
119	41	303
120	41	303
121	41	302
122	42	301
123	42	301
124	43	301
125	43	300
126	43	300
127	43	299
128	44	299
129	44	298
130	44	298
131	45	297
132	45	297
133	45	297
134	46	296
135	46	296
136	47	296
137	47	295
138	47	295
139	48	294
140	48	294
141	48	294
142	49	293
143	49	292
144	49	292
145	50	292
146	50	292
147	50	291
148	51	291
149	51	291
150	51	290
151	52	290
152	52	290
153	52	289
154	53	289
155	53	289
156	53	288
157	54	287
158	54	287
159	54	287
160	55	286
161	55	286
162	55	285
163	56	285
164	56	285
165	56	285
166	57	285
167	57	285
168	57	284
169	58	284
170	58	283
171	58	283
172	59	282
173	59	282
174	59	282
175	60	281
176	60	281
177	60	281
178	61	280
179	61	279
180	61	279
181	62	278
182	62	278
183	62	278
184	63	278
185	63	278
186	63	277
187	64	276
188	64	276
189	64	276
190	65	275
191	65	275
192	65	275
193	66	275
194	66	274
195	66	273
196	67	273
197	67	273
198	67	272
199	68	272
200	68	272
201	68	271
202	69	270
203	69	270
204	69	270
205	69	269
206	70	269
207	70	268
208	70	268
209	71	268
210	71	268
211	72	268
212	72	267
213	72	267
214	72	266
215	73	266
216	73	265
217	73	265
218	74	264
219	74	264
220	74	264
221	75	263
222	75	263
223	75	262
224	76	262
225	76	262
226	76	261
227	77	261
228	77	261
229	78	261
230	78	261
231	78	260
232	79	260
233	79	260
234	79	259
235	80	259
236	80	259
237	80	258
238	81	258
239	81	258
240	81	257
241	82	257
242	82	256
243	82	256
244	83	256
245	83	255
246	83	255
247	84	255
248	84	255
249	84	254
250	85	254
251	85	254
252	86	254
253	86	253
254	86	253
255	86	252
256	87	252
257	87	252
258	88	251
259	88	251
260	88	251
261	89	251
262	89	250
263	89	250
264	90	250
265	90	249
266	90	249
267	91	249
268	91	248
269	92	248
270	92	248
271	92	248
272	93	247
273	93	247
274	93	247
275	94	247
276	94	246
277	94	246
278	95	246
279	95	245
280	95	245
281	96	244
282	96	244
283	96	244
284	97	243
285	97	243
286	97	243
287	98	242
288	98	242
289	98	241
290	99	241
291	99	241
292	99	240
293	100	240
294	100	240
295	100	239
296	101	239
297	101	239
298	101	238
299	102	238
300	102	238
301	102	237
302	103	237
303	103	237
304	103	236
305	104	236
306	104	235
307	104	235
308	105	235
309	105	234
310	105	234
311	106	234
312	106	234
313	107	233
314	107	233
315	107	233
316	108	232
317	108	232
318	108	232
319	109	231
320	109	231
321	109	231
322	110	230
323	110	230
324	110	230
325	111	229
326	111	229
327	111	229
328	112	228
329	112	228
330	112	228
331	113	227
332	113	227
333	114	227
334	114	226
335	114	226
336	115	226
337	115	226
338	115	225
339	116	225
340	116	225
341	116	224
342	117	224
343	117	224
344	117	223
345	118	223
346	118	222
347	118	222
348	119	222
349	119	221
350	119	221
351	120	221
352	120	220
353	120	220
354	121	220
355	121	219
356	121	219
357	122	219
358	122	218
359	122	218
360	123	218
361	123	217
362	123	217
363	124	217
364	124	216
365	124	216
366	125	216
367	125	215
368	125	215
369	126	214
370	126	214
371	126	214
372	127	213
373	127	213
374	127	213
375	128	212
376	128	212
377	128	212
378	129	211
379	129	211
380	129	211
381	130	210
382	130	210
383	130	209
384	131	209
385	131	209
386	131	208
387	132	208
388	132	207
389	132	207
390	133	207
391	133	206
392	133	206
393	134	206
394	134	206
395	135	205
396	135	205
397	135	205
398	135	204
399	136	204
400	136	204
401	137	203
402	137	203
403	137	203
404	138	202
405	138	202
406	138	202
407	139	201
408	139	201
409	139	201
410	140	200
411	140	200
412	140	200
413	141	199
414	141	199
415	141	199
416	142	198
417	142	198
418	142	197
419	143	197
420	143	197
421	143	196
422	144	196
423	144	196
424	144	195
425	145	195
426	145	195
427	145	194
428	146	194
429	146	194
430	146	193
431	147	193
432	147	193
433	147	192
434	148	192
435	148	192
436	148	191
437	149	191
438	149	191
439	149	190
440	150	190
441	150	190
442	150	189
443	151	189
444	151	189
445	152	188
446	152	188
447	152	188
448	153	187
449	153	187
450	153	187
451	153	186
452	154	186
453	154	186
454	155	185
455	155	185
456	155	184
457	156	184
458	156	184
459	156	183
460	156	183
461	157	183
462	157	182
463	157	182
464	158	182
465	158	181
466	158	181
467	159	181
468	159	180
469	159	180
470	160	180
471	160	179
472	160	179
473	161	178
474	161	178
475	161	178
476	162	177
477	162	177
478	162	177
479	163	176
480	163	176
481	164	176
482	164	175
483	164	175
484	165	175
485	165	174
486	165	174
487	166	174
488	166	174
489	166	173
490	167	173
491	167	172
492	167	172
493	168	172
494	168	171
495	168	171
496	169	171
497	169	171
498	170	170
499	170	170
500	170	169
501	171	169
502	171	169
503	171	168
504	172	168
505	172	168
506	172	168
507	173	167
508	173	167
509	173	167
510	174	166
511	174	166
512	175	166
513	175	165
514	175	165
515	176	165
516	176	164
517	176	164
518	177	164
519	177	163
520	177	163
521	178	163
522	178	162
523	178	162
524	179	162
525	179	161
526	180	161
527	180	161
528	180	160
529	181	160
530	181	160
531	181	159
532	182	159
533	182	159
534	182	158
535	183	158
536	183	158
537	183	157
538	184	157
539	184	157
540	184	156
541	185	156
542	185	156
543	185	155
544	186	155
545	186	155
546	186	154
547	187	154
548	187	154
549	187	153
550	188	153
551	188	153
552	189	152
553	189	152
554	189	152
555	190	151
556	190	151
557	190	151
558	191	150
559	191	150
560	191	150
